turn,prompt_tokens,completion_tokens,total_tokens,cum_tokens,latency_s,sl_reply_chars
1,21098,542,21640,21640,19.51,1406
2,21924,847,22771,44411,82.28,2234
3,22730,2885,25615,70026,52.78,7007
4,25990,1027,27017,97043,41.73,2555
5,27619,787,28406,125449,27.67,1979
6,27822,1352,29174,154623,50.03,3279
7,29000,1296,30296,184919,46.32,3374
8,31529,1313,32842,217761,41.59,3374
9,32746,1256,34002,251763,72.76,3326
10,34691,1663,36354,288117,44.11,3955
11,36853,1061,37914,326031,34.09,2676
12,38305,1425,39730,365761,42.50,3538
13,39839,5025,44864,410625,70.26,12649
14,44830,516,45346,455971,23.03,1281
15,45038,1472,46510,502481,39.38,3833
16,47334,1512,48846,551327,95.21,3892
17,49518,1209,50727,602054,36.09,2947
18,51162,1343,52505,654559,40.51,3358
19,52392,1766,54158,708717,57.12,4435
20,55073,1035,56108,764825,52.90,2575
21,55222,1821,57043,821868,52.66,4354
22,58235,1146,59381,881249,36.25,2862
23,59685,1299,60984,942233,39.04,3136
24,61560,1175,62735,1004968,39.32,2802
25,62311,1201,63512,1068480,37.32,2905
26,64535,669,65204,1133684,23.86,1643
27,65377,953,66330,1200014,33.51,2291
28,66621,1329,67950,1267964,39.66,3276
29,68702,882,69584,1337548,39.92,2220
30,69823,1439,71262,1408810,42.56,3586
31,70959,1201,72160,1480970,67.01,2903
32,72650,1104,73754,1554724,79.30,2530
33,74030,1273,75303,1630027,56.04,3030
34,76024,1877,77901,1707928,53.61,4489
35,78048,1572,79620,1787548,48.04,3834
36,80656,1728,82384,1869932,51.92,4163
37,82117,1371,83488,1953420,40.39,3521
38,84393,1432,85825,2039245,41.27,3642
39,86185,1328,87513,2126758,38.58,3289
40,87792,1546,89338,2216096,46.23,3709
41,89807,1325,91132,2307228,41.04,3177
42,91328,1381,92709,2399937,42.35,3220
43,92732,1155,93887,2493824,38.27,2783
44,94876,1097,95973,2589797,35.18,2630
45,95867,1020,96887,2686684,39.46,2536
46,97394,1115,98509,2785193,34.00,2527
47,99329,1082,100411,2885604,37.58,2599
48,100511,1355,101866,2987470,39.54,3208
49,102282,963,103245,3090715,33.54,2279
50,103422,1056,104478,3195193,35.15,2591
51,104965,1060,106025,3301218,39.20,2563
52,106141,1253,107394,3408612,91.50,3154
53,107764,1173,108937,3517549,45.35,2931
54,109347,1318,110665,3628214,43.55,3183
55,110790,1551,112341,3740555,50.38,3655
56,112793,1351,114144,3854699,57.16,3257
57,115061,1243,116304,3971003,40.23,2869
58,116335,1647,117982,4088985,47.55,3885
59,118609,1063,119672,4208657,34.28,2458
60,120078,1065,121143,4329800,36.68,2550
61,120803,810,121613,4451413,28.31,1904
62,122105,1064,123169,4574582,51.28,2656
63,124066,1070,125136,4699718,40.09,2444
