turn,probe-formel,w10-schwelle,heldenwuerfel,sys-mechanik,psi-pp,lp-verletzung,hud-format,save-template,nullzeit-hub,px-progression,kampfrunde,fraktionen,kb-retrieval,exploding,stress,kodex
1,0,0,0,1,0,0,0,2,1,0,0,4,1,0,0,0
2,0,0,0,6,0,1,0,0,0,0,0,4,0,0,0,0
3,0,0,0,5,0,0,0,0,1,1,0,7,0,0,0,0
4,0,1,0,2,0,3,0,0,0,3,0,4,0,0,0,4
5,0,0,0,7,0,0,0,0,2,1,0,1,0,0,0,0
6,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,4
7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2
8,5,0,0,4,0,0,0,0,1,1,0,2,0,0,0,2
9,0,0,1,0,0,0,2,0,0,4,0,2,0,0,2,2
10,5,0,2,0,0,0,0,0,0,0,0,12,0,0,0,2
11,10,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2
12,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4
13,5,0,2,0,0,0,0,0,0,0,0,5,0,0,0,4
14,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2
15,15,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4
16,11,0,1,0,0,0,0,0,0,0,0,5,0,1,0,4
17,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2
18,5,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2
19,5,0,0,0,0,0,2,0,0,1,0,5,0,0,2,4
20,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
21,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2
22,0,0,0,0,0,0,2,0,3,1,0,4,0,0,2,4
23,0,0,0,0,0,0,0,0,1,9,0,2,0,0,0,6
24,0,2,0,4,0,0,0,0,1,1,0,2,0,0,0,4
25,0,0,0,3,0,3,0,0,1,0,0,8,0,0,0,2
26,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,2
27,0,0,0,0,0,4,0,0,1,3,0,2,0,0,0,2
28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
29,0,0,0,0,0,0,2,0,1,4,0,2,0,0,2,4
