turn,prompt_tokens,completion_tokens,total_tokens,cum_tokens,latency_s,sl_reply_chars
1,16700,733,17433,17433,30.74,2023
2,17674,2325,19999,37432,49.43,4811
3,20404,1571,21975,59407,51.26,3748
4,22158,2199,24357,83764,39.93,4520
5,24588,1335,25923,109687,48.09,3103
6,26125,2162,28287,137974,51.27,5315
7,28591,1641,30232,168206,42.03,3929
8,30542,1589,32131,200337,46.70,3964
9,32575,2123,34698,235035,75.07,5345
10,35037,1705,36742,271777,44.90,4116
11,37106,1861,38967,310744,44.87,4578
12,39317,1460,40777,351521,36.57,3527
13,41278,1711,42989,394510,37.67,4149
14,43433,1346,44779,439289,32.12,3329
15,45140,1720,46860,486149,36.24,4096
16,47228,2068,49296,535445,53.42,4911
17,49684,1529,51213,586658,118.17,3713
18,51523,1662,53185,639843,66.31,3953
19,53494,1108,54602,694445,52.81,2626
20,54990,1264,56254,750699,35.04,3054
21,56705,1113,57818,808517,29.48,2752
22,58054,2585,60639,869156,59.90,6261
23,60824,1193,62017,931173,32.79,2886
24,62348,1321,63669,994842,34.33,3151
25,63934,1382,65316,1060158,29.60,2946
26,65514,5253,70767,1130925,119.09,13110
27,70974,1962,72936,1203861,54.65,4721
28,73326,1082,74408,1278269,29.65,2650
29,74687,1997,76684,1354953,50.52,4757
30,76968,1824,78792,1433745,45.41,4323
31,79169,1439,80608,1514353,33.55,3446
32,80939,1208,82147,1596500,29.21,2831
33,82468,1251,83719,1680219,31.07,2939
34,84094,1366,85460,1765679,36.10,3235
35,85815,1202,87017,1852696,31.11,2846
36,87391,1260,88651,1941347,62.37,2920
37,88947,966,89913,2031260,67.93,2288
38,90256,1052,91308,2122568,26.87,2712
39,91666,1308,92974,2215542,34.19,3362
40,93396,1330,94726,2310268,52.33,3178
41,95005,2227,97232,2407500,54.29,5348
42,97574,6142,103716,2511216,101.41,15385
43,103928,733,104661,2615877,25.25,1828
44,104901,906,105807,2721684,25.98,2146
45,106098,1551,107649,2829333,88.38,3776
46,107937,986,108923,2938256,25.00,2528
47,109284,1009,110293,3048549,25.59,2519
48,110508,1228,111736,3160285,36.64,3031
49,112043,1565,113608,3273893,41.52,3652
50,113860,874,114734,3388627,33.48,2116
51,115204,1237,116441,3505068,33.57,2914
52,116765,1097,117862,3622930,29.39,2610
53,118239,1396,119635,3742565,33.06,3151
54,119929,1215,121144,3863709,28.58,2919
55,121545,1280,122825,3986534,82.49,3011
56,123358,1013,124371,4110905,25.40,2403
57,124890,1176,126066,4236971,29.33,2699
58,126321,1289,127610,4364581,31.03,2872
59,127912,1235,129147,4493728,41.16,2798
60,129494,1270,130764,4624492,48.92,2941
61,131077,1029,132106,4756598,28.43,2536
62,132493,1125,133618,4890216,35.91,2690
63,133867,1081,134948,5025164,28.40,2550
64,135210,871,136081,5161245,22.57,1983
65,136373,1475,137848,5299093,34.67,3394
66,138346,1610,139956,5439049,36.87,3779
67,140387,1650,142037,5581086,37.63,3737
68,142456,1599,144055,5725141,37.50,3600
69,144394,1523,145917,5871058,51.70,3509
70,146336,2617,148953,6020011,59.36,6106
71,149148,726,149874,6169885,17.11,1732
72,150171,840,151011,6320896,67.75,1887
73,151304,1413,152717,6473613,47.79,3194
74,153121,1247,154368,6627981,30.00,3024
75,154715,6977,161692,6789673,150.76,17161
76,162082,1064,163146,6952819,29.76,2874
77,163408,1709,165117,7117936,94.43,4209
78,165376,773,166149,7284085,23.66,1964
79,166453,813,167266,7451351,23.82,1995
80,167517,2003,169520,7620871,52.05,4597
