turn,prompt_tokens,completion_tokens,total_tokens,cum_tokens,latency_s,sl_reply_chars
1,19305,2697,22002,22002,57.56,6005
2,22210,344,22554,44556,23.10,747
3,22710,1986,24696,69252,48.65,5151
4,25103,836,25939,95191,31.95,2158
5,26225,668,26893,122084,29.05,1602
6,27008,770,27778,149862,26.27,1940
7,28115,1434,29549,179411,37.18,3670
8,29803,318,30121,209532,12.13,756
9,30319,1633,31952,241484,41.00,3999
10,32409,1178,33587,275071,31.25,3021
11,33901,558,34459,309530,23.07,1342
12,34789,361,35150,344680,12.38,941
13,35312,804,36116,380796,25.00,2072
14,36455,878,37333,418129,23.86,2349
15,37726,404,38130,456259,14.13,872
16,38353,698,39051,495310,20.80,1717
17,39382,1653,41035,536345,44.70,4253
18,41289,613,41902,578247,18.12,1560
19,42099,210,42309,620556,13.27,462
20,42552,848,43400,663956,24.46,2125
21,43617,937,44554,708510,27.12,2342
22,44867,575,45442,753952,17.36,1356
23,45808,1251,47059,801011,30.38,3059
24,47481,1004,48485,849496,45.36,2525
25,48896,622,49518,899014,19.37,1662
26,49786,1349,51135,950149,34.13,3421
27,51393,529,51922,1002071,29.93,1329
28,52109,395,52504,1054575,11.58,980
29,52688,822,53510,1108085,21.08,1925
30,53808,865,54673,1162758,23.79,2228
31,55019,590,55609,1218367,55.97,1533
32,55816,510,56326,1274693,16.25,1269
33,56547,979,57526,1332219,26.79,2378
34,57780,400,58180,1390399,12.78,974
35,58439,994,59433,1449832,24.89,2335
36,59756,521,60277,1510109,17.01,1232
37,60607,967,61574,1571683,25.70,2237
38,61992,971,62963,1634646,25.61,2304
39,63250,432,63682,1698328,15.21,1108
40,63894,903,64797,1763125,22.47,2227
41,65038,1415,66453,1829578,56.43,3499
42,66784,1095,67879,1897457,26.29,2676
43,68314,940,69254,1966711,23.11,2213
44,69638,1028,70666,2037377,24.65,2503
