turn,prompt_tokens,completion_tokens,total_tokens,cum_tokens,latency_s,sl_reply_chars
1,27959,375,28334,28334,15.27,937
2,27499,922,28421,56755,27.31,2223
3,30127,975,31102,87857,29.98,2285
4,31666,1489,33155,121012,60.18,3531
5,33864,1443,35307,156319,46.44,3323
6,35005,2340,37345,193664,67.16,5596
7,37664,1133,38797,232461,35.41,2789
8,39401,1106,40507,272968,33.88,2962
9,40688,1062,41750,314718,34.58,2897
10,41846,1440,43286,358004,44.74,3646
11,43820,1283,45103,403107,40.41,3414
12,45241,906,46147,449254,30.69,2411
13,46487,734,47221,496475,23.36,1913
14,46938,4042,50980,547455,71.16,10200
15,51440,428,51868,599323,17.77,1172
16,51627,466,52093,651416,18.69,1306
17,52991,336,53327,704743,17.76,860
18,52755,265,53020,757763,15.01,658
19,53358,377,53735,811498,18.44,1026
20,54555,280,54835,866333,13.66,696
21,54788,282,55070,921403,14.84,744
22,55002,378,55380,976783,19.98,1030
23,55815,327,56142,1032925,16.60,884
24,56023,454,56477,1089402,19.91,1202
25,56831,227,57058,1146460,13.24,554
26,57099,527,57626,1204086,21.70,1354
27,58308,222,58530,1262616,13.87,534
28,57551,377,57928,1320544,15.78,1001
29,58218,363,58581,1379125,16.09,1021
30,59183,1159,60342,1439467,33.89,2822
31,60702,1029,61731,1501198,32.05,2610
32,61846,792,62638,1563836,27.34,2045
33,62659,680,63339,1627175,23.40,1761
34,64263,902,65165,1692340,29.43,2223
35,65716,1000,66716,1759056,32.68,2318
36,66501,1016,67517,1826573,32.71,2408
37,68120,1184,69304,1895877,38.04,2903
38,69908,1531,71439,1967316,41.61,3594
39,71619,1403,73022,2040338,40.76,3317
40,73358,1216,74574,2114912,40.80,2875
41,74998,1119,76117,2191029,52.37,2703
42,76340,1181,77521,2268550,35.93,2882
43,77719,1161,78880,2347430,35.68,2595
44,78427,973,79400,2426830,30.77,2188
45,79825,1338,81163,2507993,42.74,3083
46,82446,1302,83748,2591741,40.11,3104
47,83995,1330,85325,2677066,41.16,3175
48,85922,1393,87315,2764381,48.77,3288
49,87984,1280,89264,2853645,39.94,3107
50,88688,1391,90079,2943724,40.91,3319
51,91845,1426,93271,3036995,40.58,3448
52,93604,1541,95145,3132140,47.92,3701
53,95145,1252,96397,3228537,40.88,2946
54,96902,1254,98156,3326693,35.83,2772
