turn,prompt_tokens,completion_tokens,total_tokens,cum_tokens,latency_s,sl_reply_chars
1,29258,455,29713,29713,16.92,1191
2,30355,1363,31718,61431,36.21,3078
3,31920,1743,33663,95094,44.00,4023
4,34114,1685,35799,130893,46.64,4024
5,35933,1245,37178,168071,39.05,3274
6,38193,1398,39591,207662,41.39,3714
7,39491,4574,44065,251727,80.29,11721
8,44816,580,45396,297123,24.39,1470
9,44836,1328,46164,343287,41.26,3465
10,46727,761,47488,390775,26.42,2000
11,47892,1317,49209,439984,39.84,3359
12,48383,1130,49513,489497,35.27,2954
13,50252,868,51120,540617,28.69,2185
14,51967,1148,53115,593732,35.27,3030
15,52899,978,53877,647609,30.35,2524
16,55023,1157,56180,703789,57.17,3028
17,56286,849,57135,760924,33.96,2253
18,56627,1094,57721,818645,34.70,2756
19,59174,1756,60930,879575,51.41,4300
20,61108,1735,62843,942418,46.41,3979
21,62462,1022,63484,1005902,39.21,2635
22,64354,1305,65659,1071561,63.96,3074
23,66168,1082,67250,1138811,48.64,2472
24,67608,709,68317,1207128,26.96,1827
25,68384,1552,69936,1277064,45.65,3612
26,70574,1242,71816,1348880,39.31,3095
27,72308,1326,73634,1422514,41.32,3192
28,73729,1281,75010,1497524,38.57,2912
29,75296,1199,76495,1574019,39.12,2693
30,75997,1382,77379,1651398,40.57,3274
31,78320,1322,79642,1731040,44.00,3140
32,79764,1336,81100,1812140,40.46,3213
33,81783,1479,83262,1895402,44.81,3408
34,83856,941,84797,1980199,31.82,2483
35,85119,1214,86333,2066532,39.04,2801
36,86938,1267,88205,2154737,41.29,2921
37,88483,1064,89547,2244284,37.43,2507
38,89405,1903,91308,2335592,61.81,4480
39,92062,1592,93654,2429246,45.51,3700
40,94431,986,95417,2524663,32.95,2469
41,95460,1549,97009,2621672,45.59,3649
42,97359,1326,98685,2720357,38.89,2894
43,98705,1220,99925,2820282,37.77,2720
44,100588,1361,101949,2922231,40.51,3281
45,102256,1279,103535,3025766,39.70,3006
46,103882,1534,105416,3131182,47.94,3525
47,104995,1236,106231,3237413,58.70,2958
48,107638,1486,109124,3346537,42.99,3575
49,109347,1080,110427,3456964,33.35,2614
50,110730,1573,112303,3569267,45.89,3641
51,111541,1485,113026,3682293,44.29,3452
52,114337,1454,115791,3798084,43.88,3365
53,116317,779,117096,3915180,30.09,1810
54,116670,1114,117784,4032964,34.85,2552
55,118594,1329,119923,4152887,41.84,3020
56,119301,1618,120919,4273806,46.12,3843
57,122643,1401,124044,4397850,41.91,3225
58,123663,1486,125149,4522999,42.48,3398
