turn,prompt_tokens,completion_tokens,total_tokens,cum_tokens,latency_s,sl_reply_chars
1,62152,1215,63367,63367,28.38,2466
2,68148,1010,69158,132525,30.37,2360
3,69433,1273,70706,203231,37.55,2840
4,70392,971,71363,274594,26.83,2098
5,72052,619,72671,347265,21.12,1374
6,71363,1832,73195,420460,48.47,4484
7,75632,872,76504,496964,27.20,2162
8,76812,1168,77980,574944,33.12,2746
9,78023,1403,79426,654370,38.93,3120
10,80095,1288,81383,735753,37.42,2985
11,80977,1301,82278,818031,37.67,3054
12,82820,1501,84321,902352,40.77,3433
13,84775,1737,86512,988864,47.59,4053
14,86789,1467,88256,1077120,40.53,3313
15,88841,1177,90018,1167138,34.76,2807
16,90128,1166,91294,1258432,37.29,2847
17,91392,1122,92514,1350946,39.51,2621
18,93330,1325,94655,1445601,37.43,3050
19,94759,1287,96046,1541647,36.60,2992
20,96475,929,97404,1639051,28.93,2217
21,97903,1240,99143,1738194,36.75,2720
22,98075,1388,99463,1837657,40.29,3129
23,100956,1022,101978,1939635,31.26,2376
24,101236,2390,103626,2043261,60.31,5469
